image_path,style_label,pattern_label,color_label
dataset\train\fusion wear women\Stitched Embroidered Lawn Shirt+ Shalwar Main image (3).jpg,2,2,4
dataset\train\fusion wear women\Stitched Embroidered Lawn Shirt+ Shalwar Main image.jpg,2,2,0
dataset\train\fusion wear women\Stitched Embroidered Lawn Suit Main image.jpg,2,2,3
dataset\train\fusion wear women\Stitched Embroidered Muzlin Suit Main image.jpg,2,2,0
dataset\train\fusion wear women\Stitched Embroidered Shirt Main image.jpg,2,2,3
dataset\train\fusion wear women\Stitched Embroidered Slub Lawn Shirt+ Shalwar Main image.jpg,2,2,3
dataset\train\fusion wear women\Stitched Printed Basic Viscose Shirt+ Culotte Main image.jpg,2,1,9
dataset\train\fusion wear women\Stitched Printed Crepe Shirt + Dupatta Main image.jpg,2,1,0
dataset\train\fusion wear women\Stitched Printed Lawn Shirt+ Culotte Main image (2).jpg,2,1,4
dataset\train\fusion wear women\Stitched Printed Lawn Shirt+ Culotte Main image (3).jpg,2,1,3
dataset\train\fusion wear women\Stitched Printed Lawn Shirt+ Culotte Main image (5).jpg,2,1,0
dataset\train\fusion wear women\Stitched Printed Lawn Shirt+ Culotte Main image (6).jpg,2,1,8
dataset\train\fusion wear women\Stitched Printed Lawn Shirt+ Culotte Main image.jpg,2,1,3
dataset\train\fusion wear women\Stitched Printed Lawn Shirt+ Shalwar Main image.jpg,2,1,3
dataset\train\fusion wear women\Stitched Printed Linen Shirt+ Culotte Main image.jpg,2,1,4
dataset\train\fusion wear women\Stitched Printed Muzlin Suit Main image (1).jpg,2,1,0
dataset\train\fusion wear women\Stitched Printed Muzlin Suit Main image.jpg,2,1,0
dataset\train\fusion wear women\Stitched Printed Raw Silk Shirt Main image (2).jpg,2,1,0
dataset\train\fusion wear women\Stitched Printed Satin Shirt + Culotte Main image.jpg,2,1,4
dataset\train\fusion wear women\Stitched Printed Satin Shirt+ Culotte Main image (1).jpg,2,1,7
dataset\train\fusion wear women\Stitched Printed Satin Shirt+ Culotte Main image.jpg,2,1,3
dataset\train\fusion wear women\Stitched Printed Viscose Shirt+ Shalwar Main image (1).jpg,2,1,0
dataset\train\fusion wear women\Stitched Printed Viscose Shirt+ Shalwar Main image.jpg,2,1,0
dataset\train\fusion wear women\Stitched Printed Viscose Shirt+Shalwar Main image.jpg,2,1,0
dataset\train\fusion wear women\Stitched Printen Satin Shirt+ Dupatta Main image.jpg,2,1,9
dataset\train\fusion wear women\Stitched Satin Shirt Main image (1).jpg,2,0,9
dataset\train\khaddar dresses\#New_collectionMonar Fabric Digital Print Shirt.jpg,3,1,4
dataset\train\khaddar dresses\028b35204460b4f81834641c5f4ef9b9.jpg,3,0,7
dataset\train\khaddar dresses\0c18837eb5a1d64448e916dff0fb6ee3.jpg,3,0,6
dataset\train\khaddar dresses\12d954e1c650c9218d831b86024a5f0c.jpg,3,0,3
dataset\train\khaddar dresses\1b245fc3d0bb69f24f74b1165c472bc9.jpg,3,0,5
dataset\train\khaddar dresses\29582bc6ad7a29280a2f88d28c630ea4.jpg,3,0,9
dataset\train\khaddar dresses\395c292905c07bcdc8aa766a362828f5.jpg,3,0,5
dataset\train\khaddar dresses\3e25e36d150ffd81d49af7954062a24d.jpg,3,0,7
dataset\train\khaddar dresses\456c7d60b3ea8a91eb7fda701b843ecb.jpg,3,0,5
dataset\train\khaddar dresses\4618a57379f08ac38826cbd70d17ec36.jpg,3,0,7
dataset\train\khaddar dresses\5e0bc5538953ed5c6149fcb3ad2fa682.jpg,3,0,6
dataset\train\khaddar dresses\651234db39cdce556b2efe9610743031.jpg,3,0,3
dataset\train\khaddar dresses\69b4ad8d3321376cd2a36b4458b71311.jpg,3,0,4
dataset\train\khaddar dresses\6d80cbcfc3b75739d8f4757f7ea2f725.jpg,3,0,6
dataset\train\khaddar dresses\73e005b4a11dea26bf38648aa41fa631.jpg,3,0,4
dataset\train\khaddar dresses\7b2f05ce12ceb3663c887f29e74920a5.jpg,3,0,3
dataset\train\khaddar dresses\7e524bc15214251057a896551015a137.jpg,3,0,9
dataset\train\khaddar dresses\7eb01f866e67c47943eb17a6c0c1e50b.jpg,3,0,4
dataset\train\khaddar dresses\90da596f073645a050ad6e5ba8b5701d.jpg,3,0,4
dataset\train\khaddar dresses\976ecc400a7de99bf089f1b2661a8615.jpg,3,0,1
dataset\train\khaddar dresses\9c6a07a52f9b2dec34a171aa612e0e4f.jpg,3,0,4
dataset\train\khaddar dresses\9eceebca8d89c64366ba136fdd35d936.jpg,3,0,7
dataset\train\khaddar dresses\a028a16037fd50bbb2667ad2e87731da.jpg,3,0,6
dataset\train\khaddar dresses\aaae606ed308dd3cf8eddc04f60e6ab6.jpg,3,0,6
dataset\train\khaddar dresses\aae246a9ddd7825b5670a997d9233ca4.jpg,3,0,5
dataset\train\khaddar dresses\b2a832b3e06061e280af4f1d68ad0ddc.jpg,3,0,1
dataset\train\khaddar dresses\b952215f5b4b5e96a71f6dda7e959469.jpg,3,0,6
dataset\train\khaddar dresses\beautiful dress for eid.jpg,3,2,1
dataset\train\khaddar dresses\Beige Embroidered Lawn 3 pic suit for women  with Dupatta.jpg,3,2,4
dataset\train\khaddar dresses\c1f2c63b517de5d05a48724977795da4.jpg,3,0,1
dataset\train\khaddar dresses\c4d51ae9e747b9cca747f165a99b7e6e.jpg,3,0,9
dataset\train\khaddar dresses\de36d88dee61756cf1654d73a6c88e73.jpg,3,0,4
dataset\train\khaddar dresses\Digital Printed Viscose Silk Ensemble with Shawl - Xlarge.jpg,3,1,5
dataset\train\khaddar dresses\e2ac60e2718677c549c9c889ff2e7e2b.jpg,3,0,8
dataset\train\khaddar dresses\edba8b264bccd00fddd12a006593b672.jpg,3,0,3
dataset\train\khaddar dresses\ee2ead19ae2574408e0e95dd8bfcf791.jpg,3,0,6
dataset\train\khaddar dresses\Elegant Pink Embroidered Lawn Suit 3 Piece 2026 _ Summer Pakistani Dress with Chiffon Dupatta.jpg,3,2,9
dataset\train\khaddar dresses\Embroidered Khaddar Pakistani Party Dress with Shawl - Custom.jpg,3,2,3
dataset\train\khaddar dresses\f836ca854d7391d991d1030609f72fd7.jpg,3,0,6
dataset\train\khaddar dresses\fca5896f30be400df4016235f7513b3f.jpg,3,0,3
dataset\train\khaddar dresses\Green Khaddar Kurti _ Limelight Pakistani Winter Dresses _ Custom Stitched Pakistan Winter Suits.jpg,3,0,6
dataset\train\khaddar dresses\green khadur suit.jpg,3,0,5
dataset\train\khaddar dresses\Ivory Khaddar Suit _ Limelight Pakistani Winter Dresses _ Custom Stitched Pakistan Winter Suits.jpg,3,0,4
dataset\train\khaddar dresses\kaddar.jpg,3,0,3
dataset\train\khaddar dresses\Light Green Khaddar Suit _ Limelight Pakistani Winter Dresses _ Custom Stitched Pakistan Winter Suits.jpg,3,0,4
dataset\train\khaddar dresses\pin_1023794927799093166_BrandsInn-3PC DHANAK EMBROIDERED SHIRT WITH DHANAK.jpg,3,2,4
dataset\train\khaddar dresses\pin_1038713101579335351_2pcs Lawn suit Maroon kurta shalwar PKR 2950.jpg,3,0,4
dataset\train\khaddar dresses\pin_1039487157750262318_#ziva #summer pret lawn _Ready to wear collection.jpg,3,0,8
dataset\train\khaddar dresses\pin_1051731319249225207_Green attractive outfit 😍😍💚💚 Suits you!!.jpg,3,0,2
dataset\train\khaddar dresses\pin_1078893654523730745_RS 4000 order no.03293576129.jpg,3,0,8
dataset\train\khaddar dresses\pin_1095500678126289655.png,3,0,9
dataset\train\khaddar dresses\pin_1106196727236367994.jpg,3,0,7
dataset\train\khaddar dresses\pin_110830840824344318_Sahane Zw2-21-09 Zaha Winter Vol 2 2021.jpg,3,0,4
dataset\train\khaddar dresses\pin_1140888518104985407_Very Simple Elegant Maroon Outfit ✨️.jpg,3,0,2
dataset\train\khaddar dresses\pin_1145321748986083508.jpg,3,0,7
dataset\train\khaddar dresses\pin_135882113755212376_Bareeze 3PC Printed Slub Khaddar 🍂✨ Crafted for.jpg,3,1,2
dataset\train\khaddar dresses\pin_158329743146138146_Salwar kamiz.jpg,3,0,7
dataset\train\khaddar dresses\pin_261701428341509511.jpg,3,0,4
dataset\train\khaddar dresses\pin_311241024267518391.jpg,3,0,4
dataset\train\khaddar dresses\pin_311241024267518392.jpg,3,0,4
dataset\train\khaddar dresses\pin_311241024267518394.jpg,3,0,4
dataset\train\khaddar dresses\pin_36732553207685085_farshi salwar suit 🌸.jpg,3,0,2
dataset\train\khaddar dresses\pin_37576978137461794.jpg,3,0,5
dataset\train\khaddar dresses\pin_391320655131730698_Pakistani Designers Suits Biggest Range _ Bareeze.png,3,0,4
dataset\train\khaddar dresses\pin_397372367142874641_𝗖𝗼𝗰𝗼 𝗪𝗶𝗻𝘁𝗲𝗿 𝗯𝘆 𝗭𝗮𝗿𝗮𝘀𝗵𝗮𝗵𝗷𝗮𝗵���.jpg,3,0,2
dataset\train\khaddar dresses\pin_40039884186755544.jpg,3,0,9
dataset\train\khaddar dresses\pin_4222193393946347.jpg,3,0,7
dataset\train\khaddar dresses\pin_447052700520934162_Bareeze Ocean Bareeze Mc651 Grey Collection 2021.jpg,3,0,2
dataset\train\khaddar dresses\pin_4590786585566053888_Sapphire Farshi Shalwar 2 Piece Suit SAP218 - L.jpg,3,0,2
dataset\train\khaddar dresses\pin_4592686535989961984_Elysia _ AMARIS - LUXURY SHAWL UNSTITCHED 2025 _ REPUBLIC WOMENSWEAR - Unstitched.jpg,3,0,6
dataset\train\khaddar dresses\pin_4594234647728117248_Digital Printed Viscose Silk Shirt and Trouser Set - Medium.jpg,3,1,3
dataset\train\khaddar dresses\pin_4605564073928379648_Pale Blue Khaddar Suit _ Alkaram Pakistani Winter Dresses _ Custom Stitched Pakistan Winter Suits.jpg,3,0,7
dataset\train\khaddar dresses\pin_476677941827057972_Buy Ladies Unstitched Suits Online in Pakistan - Laam.pk.jpg,3,0,1
dataset\train\khaddar dresses\pin_55591376646807723_🖤🖤🖤.jpg,3,0,2
dataset\train\khaddar dresses\pin_617345061497240365_Zara Shahjahan ZW22-6B Coco Winter 2022 Online Shopping.jpg,3,0,5
dataset\train\khaddar dresses\pin_617837642700944331.jpg,3,0,9
dataset\train\khaddar dresses\pin_630292910395005429_Green Khaddar Kurti _ Limelight Pakistani Winter Dresses _ Custom Stitched Pakistan Winter Suits.jpg,3,0,6
dataset\train\khaddar dresses\pin_633600241364796860.jpg,3,0,4
dataset\train\khaddar dresses\pin_664984701273160635.jpg,3,0,4
dataset\train\khaddar dresses\pin_686165693261089216.jpg,3,0,4
dataset\train\khaddar dresses\pin_689965605454711500_Off White Khaddar Suit _ Zara Shahjahan Pakistani Winter Dresses _ Custom Stitched Pakistan Winter S.jpg,3,0,4
dataset\train\khaddar dresses\pin_715650197081031065.jpg,3,0,8
dataset\train\khaddar dresses\pin_718253840609602887_dhanak dress.jpg,3,0,3
dataset\train\khaddar dresses\pin_718464946830255165_Elan Larah (EW23-02) Winter Collection Online Shopping.jpg,3,0,4
dataset\train\khaddar dresses\pin_723601865164625209.jpg,3,0,3
dataset\train\khaddar dresses\pin_724587027589167673.jpg,3,0,3
dataset\train\khaddar dresses\pin_732609064423398081.jpg,3,0,5
dataset\train\khaddar dresses\pin_772156298646998920.jpg,3,0,4
dataset\train\khaddar dresses\pin_779193173073661576_Embroidered - Khaddar 3PC - 136.jpg,3,2,9
dataset\train\khaddar dresses\pin_805370345897765474.jpg,3,0,5
dataset\train\khaddar dresses\pin_82894449388798917.jpg,3,0,4
dataset\train\khaddar dresses\pin_8444318047875296_Beautiful Lawn Outfit 🥨✨️.jpg,3,0,2
dataset\train\khaddar dresses\pin_846747167463104637_Niloufer Zw2-21-07 Zaha Winter Vol 2 2021.jpg,3,0,4
dataset\train\khaddar dresses\pin_878835314762649778.jpg,3,0,7
dataset\train\khaddar dresses\pin_878835314763621036.jpg,3,0,2
dataset\train\khaddar dresses\pin_880172320960428502_dress designing.jpg,3,0,2
dataset\train\khaddar dresses\pin_881368589590563776_Unstitched Embroidered 3 PEC Khaddar Suit with Pri.jpg,3,2,4
dataset\train\khaddar dresses\pin_881720433323240355.jpg,3,0,7
dataset\train\khaddar dresses\pin_882635226978824052_Winter Shawl'24 By Hussain Rehar__Shop Now_ https_.jpg,3,0,7
dataset\train\khaddar dresses\pin_900086675539306945_Winter Outlook..jpg,3,0,4
dataset\train\khaddar dresses\pin_900579256748780757_Fall Edit 🍂__Brand Name_ Xenia_Category_ Stitched.jpg,3,0,2
dataset\train\khaddar dresses\pin_908108712361876572__JOHRA DIVINE Khaddar Embroidered Shirt Banarsi Ja.jpg,3,2,0
dataset\train\khaddar dresses\pin_915356693031921357.jpg,3,0,6
dataset\train\khaddar dresses\pin_915356693032226038.jpg,3,0,4
dataset\train\khaddar dresses\pin_915356693032226354.jpg,3,0,5
dataset\train\khaddar dresses\pin_915356693032390995.jpg,3,0,1
dataset\train\khaddar dresses\pin_916412224206189707_iznik khaddar suit idea❤️.jpg,3,0,2
dataset\train\khaddar dresses\pin_921267667532917435.jpg,3,0,4
dataset\train\khaddar dresses\pin_948148527815908467_Wrap yourself in elegance this winter with the Jaz.jpg,3,0,7
dataset\train\khaddar dresses\pin_951174383813282249_Winter Edit 2025__Two piece Khaddar (Customisable).jpg,3,0,7
dataset\train\khaddar dresses\PREMIUM WINTER EMBROIDERED KHADDAR UNSTITCHED _ Wear Motifz _ Women clothes _ Shop now _ Shop Online.jpg,3,1,3
dataset\train\khaddar dresses\Winter Khaddar Dress Ideas.jpg,3,0,4
dataset\train\khaddar dresses\Zara Shahjahan ZW20-4B Coco Winter 2021.jpg,3,0,6
dataset\train\khaddar dresses\✨ Elegant. Modern. Sapphire.Step into timeless st.jpg,3,0,2
dataset\train\khaddar dresses\𝗖𝗼𝗰𝗼 𝗪𝗶𝗻𝘁𝗲𝗿 𝗯𝘆 𝗭𝗮𝗿𝗮𝘀𝗵𝗮𝗵𝗷𝗮𝗵���.jpg,3,0,2
dataset\train\khaddar dresses\🖤🖤🖤.jpg,3,0,2
dataset\train\long shirts with cigarette pants\17fce4b2de6d3dab0ab1c08353e2fb8f.jpg,4,0,7
dataset\train\long shirts with cigarette pants\2a00ea164300839a64a45a775b729381.jpg,4,0,4
dataset\train\long shirts with cigarette pants\40092169cc6d961ea9ab377649a97c57.jpg,4,0,8
dataset\train\long shirts with cigarette pants\784036b5d64e107bf7a984a62148c1f3.jpg,4,0,0
dataset\train\long shirts with cigarette pants\81d4a3098af508098abad8204c85b651.jpg,4,0,2
dataset\train\long shirts with cigarette pants\8c17bb669e7b179983a976be75b1aa72.jpg,4,0,7
dataset\train\long shirts with cigarette pants\96342f5efb594e270eac49b72c7feebf.jpg,4,0,7
dataset\train\long shirts with cigarette pants\963c273d8b53b94c69e777fc906dc37c (1).jpg,4,0,0
dataset\train\long shirts with cigarette pants\a129b4c7aa3307d8ac9c6e39fa199dbe.jpg,4,0,3
dataset\train\long shirts with cigarette pants\a86ecc4a7812c49d74a345fe32b42747.jpg,4,0,3
dataset\train\long shirts with cigarette pants\ab8ee346fe9a71a41acc1dcae91ebb44.jpg,4,0,4
dataset\train\long shirts with cigarette pants\be3fa213daea3ace491a1712161123ef.jpg,4,0,4
dataset\train\long shirts with cigarette pants\beautiful Pakistani long handmade shirt with cigar.jpg,4,0,2
dataset\train\long shirts with cigarette pants\cc8cff4fd5f103767fc5537faeca8018.jpg,4,0,7
dataset\train\long shirts with cigarette pants\eb05a7f253a2fd77759f15f7d1b5366f.jpg,4,0,6
dataset\train\long shirts with cigarette pants\pin_420734790205408696.png,4,0,9
"dataset\train\long shirts with cigarette pants\pin_4607675074161624192_Minted Cotton Net Kurta Set, Hand Embellished, Pink Organza Dupatta.jpg",4,2,6
dataset\train\long shirts with cigarette pants\pin_474496510762379909 (1).png,4,0,3
dataset\train\long shirts with cigarette pants\pin_50876670785641375_Viral outfit inspo ✨.jpg,4,0,2
dataset\train\long shirts with cigarette pants\pin_642255596878375855_Style.jpg,4,0,6
dataset\train\long shirts with cigarette pants\pin_676525175313313798.jpg,4,0,4
dataset\train\long shirts with cigarette pants\pin_718394578076655507_Dress design.jpg,4,0,4
dataset\train\long shirts with cigarette pants\pin_736760820288629706_From Fashion & Showbiz.jpg,4,0,7
dataset\train\long shirts with cigarette pants\pin_877639046149765430_Comment below your pick from these elegant Winter.jpg,4,0,4
dataset\train\long shirts with cigarette pants\pin_877639046164484126_Casual _ stylish Coord sets -__Dm to pre order__#c.jpg,4,0,4
dataset\train\long shirts with cigarette pants\pin_989806824379888427_Pakistani dress.jpg,4,0,4
dataset\train\long shirts with cigarette pants\pin_998391811152245910.jpg,4,0,7
dataset\train\long shirts with cigarette pants\purple elegant dress.png,4,0,8
dataset\train\long shirts with cigarette pants\✨ Midnight Bloom_ The Front-Open Organza Jacket You Need! 🌸.jpg,4,1,2
